cleaned_text,text_cleaned,sentiment_label,sentiment_score
jelas hambar karena dr atas dananya dipangkas,jelas hambar atas dana pangkas,LABEL_4,0.26537397503852844
program prabowo paling mustahil di jalankan tp banyak yg percaya sewaktu kampanye,program prabowo paling mustahil jalan tp banyak percaya waktu kampanye,LABEL_4,0.25718507170677185
please hentikan program iniganti blt siswa sajakalo gak mau pilih pendidikan gratis,henti program iniganti blt siswa sajakalo mau pilih didik gratis,LABEL_2,0.23353694379329681
assu_dahlah hentikan saja itu program mbg pak presiden anak² kami lebih mbutuhkan pendidikan gratis daripada makan siang gratis,assu dah henti program mbg pak presiden anak lebih mbutuhkan didik gratis makan siang gratis,LABEL_4,0.2447138875722885
kalo jujur sebetulnya hampir semua seperti itu kadang kadang diliput anak anak takut menyampaikan apa adanya seolah olah disetting supaya melaporkan baik baik saja,kalau jujur hampir semua kadang kadang liput anak anak takut sampai apa ada olah disetting lapor baik baik,LABEL_4,0.27628642320632935
nasi siang gratis rasa ternak mulyono,nasi siang gratis rasa ternak mulyono,LABEL_2,0.24405762553215027
hapus saja makan gratis ganti dengan sekolah gratis,hapus makan gratis ganti sekolah gratis,LABEL_2,0.27923300862312317
program unggulan kebanggaan kaum,program unggul bangga kaum,LABEL_2,0.30326974391937256
kembalikan ke orang tuanya untuk memberi makan siang tugas negara memberikan pekerjaan kpd orang tuanya,kembali orang tua beri makan siang tugas negara beri kerja orang tua,LABEL_2,0.24393390119075775
ini kalau ga bnr dipantau bukan memberi gizi malah membunuh secara perlahan jadinya,kalau bnr pantau bukan beri gizi malah bunuh perlahan jadi,LABEL_4,0.27589958906173706
ganti sama pendidikan gratis,ganti sama didik gratis,LABEL_4,0.28324252367019653
salah prabowo dan jokowi,salah prabowo jokowi,LABEL_4,0.2718586027622223
kalo di keritik di bilangan anak abah,kalau keritik bilang anak abah,LABEL_4,0.2848738133907318
ini adalah fakta lapanganmakanan bergizi tapi tidak sesuai kenapa masih ada yg bilang untuk menjatuhkan program presiden kritik itu untuk membangun kenapa tidak suka,fakta lapanganmakanan gizi sesuai bilang jatuh program presiden kritik bangun suka,LABEL_2,0.242569237947464
kalau gak diawasin bener bener yah jadi ladang korup,kalau diawasin bener bener yah jadi ladang korup,LABEL_4,0.27858322858810425
katanya bergizi nyatanya bikin penyakit,kata gizi nyata bikin sakit,LABEL_3,0.2594377100467682
mending sekolah gratis smpe sma untk seluruh indonesia,mending sekolah gratis smpe sma untk seluruh indonesia,LABEL_4,0.23551777005195618
banyak buzzer mulyono disini cuman anak kecil itu gak pandai berbohong kayak buzzer,banyak buzzer mulyono sini cuma anak kecil pandai bohong kayak buzzer,LABEL_4,0.26205024123191833
stop makan gratis jdikan pendidikan gratis,stop makan gratis jdikan didik gratis,LABEL_4,0.2484908252954483
di malaysia makan gratis di sedia untuk anak di keluarga pendapatan rm sebulan atau rupiah juta ke bawah makanan di sediakan dikantin dengan menu yg di luluskan oleh kementerian kesihatan,malaysia makan gratis sedia anak keluarga dapat rm bulan rupiah juta bawah makan sedia kantin menu lulus menteri kesihatan,LABEL_4,0.3247953951358795
hati hati dek nanti disuruh bersyukur,hati hati dek suruh syukur,LABEL_4,0.2780281901359558
ubur ubur ikan lele rakyat g butuh makan gratis le,ubur ubur ikan lele rakyat g butuh makan gratis le,LABEL_2,0.2620997428894043
bpk prabowo yg terhormat lihat ini program yg bpk unggulkan mbggimana ini bos,bpk prabowo hormat lihat program bpk unggul mbggimana bos,LABEL_4,0.2655622065067291
ora efektif blasnguwak anggaran tok,ora efektif blasnguwak anggar tok,LABEL_4,0.290088027715683
kasih kerjaan bapak nya biar bapaknya yg ngasih makan anak² nya orangtuanya tau persis dan ga mungkin ngasih makanan basi,kasih kerja bapak nya biar bapak ngasih makan anak nya orangtuanya tau persis mungkin ngasih makan basi,LABEL_2,0.250489741563797
makan urusan org tuanya,makan urus org tua,LABEL_4,0.2791646122932434
program tdk ada mampaatkalo pak omon pintar bikin prgram sekolah gratis dan sembako murah lapangan kerja di perbanyak,program mampaatkalo pak omon pintar bikin prgram sekolah gratis sembako murah lapang kerja banyak,LABEL_3,0.2285165786743164
hentikan mbg mending dikasih emak nya biar bisa masak sesuka anaknya,henti mbg mending kasih emak nya biar masak suka anak,LABEL_4,0.25341302156448364
urusan makan anak biar lah jd urusan ibunya masing tugas negara kasihblapangan pekerjaan buat bapaknya saja g usah repot ngurus makan anak org,urus makan anak biar lah jadi urus ibu masing tugas negara kasihblapangan kerja buat bapak g usah repot ngurus makan anak org,LABEL_2,0.2467954158782959
di kritik gak mau maunya benerrr ajaa kalo sdh kyk gini siapa yg bertanggung jawab itulah mikirnya makaaann makannnn makannnn aja sdh ada yg mikirin anak anak itu yaitu ortu nya,kritik mau mau benerrr ajaa kalau gin siapa tanggung jawab mikirnya makaaann makannnn makannnn mikirin anak anak ortu nya,LABEL_4,0.23589172959327698
bukannya sibuk urus program pak pres malah sibuk bahas pilpres,bukan sibuk urus program pak pres malah sibuk bahas pilpres,LABEL_4,0.2506476044654846
stop saja program mbgkasih aja orang tuanya pekerjaannyabiar dapat kasih makan anaknya x seharidari program mbg semua cari untung sedangkan anak banyak yg jd korban,stop program mbgkasih orang tua pekerjaannyabiar kasih makan anak x seharidari program mbg semua cari untung anak banyak jadi korban,LABEL_2,0.22998008131980896
negara yg sok tau keperluan anak,negara sok tau perlu anak,LABEL_4,0.254396915435791
subsidinya gk main triliunan tpi hasil nya kaya gini klo gk efektif mending gak usah deh makan gratis gini buang anggaran,subsidi gk main triliun tpi hasil nya kaya gin kalau gk efektif mending usah deh makan gratis gin buang anggar,LABEL_4,0.2523958384990692
awas ketemu om botak stafsus ntar dimarahi,awas ketemu om botak stafsus ntar marah,LABEL_4,0.2845921516418457
gak gak pemerintah ga boleh salah ini pasti ada yg salah yang pasti bukan pemerintah titik,perintah salah salah bukan perintah titik,LABEL_4,0.27598434686660767
kasih ke azka,kasih azka,LABEL_4,0.2875159680843353
ya allah semoga adik adik ya sehat ya,allah moga adik adik sehat,LABEL_4,0.2935786247253418
makan bergizi di luar negri itu di bkin kek prasmanan dapur nya di sekolah n ada pkrja khusus utk masak n memastikan kebersihan mknan pda saat pengambilan mknan jg ada petugas yg menakrnya,makan gizi luar negri bkin prasmanan dapur nya sekolah n pkrja khusus masak n pasti bersih mknan pda ambil mknan tugas menakrnya,LABEL_4,0.2311437577009201
kalo sudah begini siapa yg salah dan bertanggung jawab,kalau begini siapa salah tanggung jawab,LABEL_4,0.26889777183532715
periksa itu orang yg mengurus mbg bukan salah pemerintah tapi salah itu oknum yg tidak bertanggung jawab,periksa orang urus mbg bukan salah perintah salah oknum tanggung jawab,LABEL_4,0.24806688725948334
ok gas ok gas jogetin ajaaaa pemilih,gas gas jogetin ajaaaa pilih,LABEL_1,0.24438713490962982
itu yang menyajikan perlu ditinjau,saji perlu tinjau,LABEL_4,0.2889469861984253
program buang uang negara,program buang uang negara,LABEL_2,0.26163703203201294
lagian ngapain juga negara repot ngasi makan anak skolah kasi aja ibu bpk nya pekerjaan yg layak nanti jg anak nya di kasi makan terbaik oleh org tua nya,lagi ngapain negara repot ngasi makan anak skolah kasi ibu bpk nya kerja layak anak nya kasi makan baik org tua nya,LABEL_2,0.22169527411460876
sayang bgt terbuang sia sia jd mubajir,sayang banget buang sia sia jadi mubajir,LABEL_4,0.25966694951057434
kalau menurut saya sih harinya per sekola aja masak nya biar ga kewalahan masak nya jadi buru mubazir,kalau sih hari per kola masak nya biar kewalahan masak nya jadi buru mubazir,LABEL_4,0.24800153076648712
jarak kejauhan antara dapur ke sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya di mulai pukul dini hari hingga sampai kesolah dng rentang waktu sampai jam wajar basi,jarak jauh dapur sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya mulai pukul dini hari hingga solah dng rentang waktu jam wajar basi,LABEL_4,0.23622094094753265
pendidikan gratis ga akan basi,didik gratis basi,LABEL_4,0.25215572118759155
lbh baik skolah gratis drpd mbgmk ny wo mikir yg terbaik beri pekerjaan pd para orang tua murid yg rata² pengangguran atau krj serabutan,lbh baik skolah gratis drpd mbgmk ny wo mikir baik beri kerja pd orang tua murid rata anggur krj serabutan,LABEL_2,0.23272788524627686
gimana kalo seperti ini deddy corbuzier dan badan gizi nasional,gimana kalau deddy corbuzier badan gizi nasional,LABEL_4,0.26239293813705444
jgn gitu ya ntar dedy marah lo,jangan gitu ntar dedy marah lo,LABEL_4,0.26378196477890015
lebih penting pendidikan gratis makan siang gratis,lebih penting didik gratis makan siang gratis,LABEL_4,0.2512957751750946
dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake yg stainless,tray nya plastik ity bukan mbg standart program mbg tray nya pakai stainless,LABEL_4,0.2609272003173828
sebaikmakanan buat anak adalah yg di buat oleh tangan ibunya,sebaikmakanan buat anak buat tangan ibu,LABEL_4,0.24919886887073517
isinya pembenci presiden semua,isi benci presiden semua,LABEL_4,0.26894885301589966
yang masak nya gimana itu pangil koki dari jawa sumatra yang masak,masak nya gimana pangil koki jawa sumatra masak,LABEL_4,0.27904343605041504
program gagal,program gagal,LABEL_4,0.2906078100204468
lbh baik turunkan harga sembako dan harga sandang pangan jd tiap klrga mampu kasi anak makaan bergizi walau menu sederhana stidakny mkn lauk sayur dan buah,lbh baik turun harga sembako harga sandang pangan jadi tiap klrga mampu kasi anak maka gizi menu sederhana stidakny mkn lauk sayur buah,LABEL_4,0.22782203555107117
astagayayasan apa yg kasih makan,astagayayasan apa kasih makan,LABEL_4,0.271571546792984
kebijakan menghamburkan anggaran sudahlah sdh kuduga,bijak hambur anggar sudah duga,LABEL_4,0.26937180757522583
itu namanya yang bergizi,nama gizi,LABEL_4,0.2634263336658478
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jangan disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup,LABEL_4,0.2863622307777405
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo,LABEL_2,0.2821429371833801
kasih dedi makan,kasih dedi makan,LABEL_4,0.2634890377521515
perlu dikaji ulang,perlu kaji ulang,LABEL_4,0.28528374433517456
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana tpi nyata nol bersih,LABEL_4,0.27026310563087463
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,bagus nya sih menu lebih arah tahan lama roti susu sayur banyklah tahan lama,LABEL_4,0.22814512252807617
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan kurang matang memang kasih ayam busuk kali tertawa kasi anak anak nya,LABEL_4,0.2536713182926178
pengawasan suplayer harus penting,awas suplayer penting,LABEL_4,0.28762370347976685
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis,LABEL_2,0.24241244792938232
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah,LABEL_2,0.25936609506607056
suruh makan cahyadi saja,suruh makan cahyadi,LABEL_4,0.25873979926109314
skolah gratis,skolah gratis,LABEL_2,0.29159167408943176
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak,LABEL_4,0.22378291189670563
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti keluh wajib,LABEL_4,0.2548513412475586
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar sehat dana potong ngasih kerjajd sedia masak apa ada,LABEL_4,0.2413477599620819
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak,LABEL_2,0.2582937180995941
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana basi,LABEL_2,0.27372047305107117
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam apa kasih makan program bagus masalah perlu sampai bahan evaluasi nah kata buzzer usah keluh dimna otak,LABEL_4,0.24308352172374725
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang awas,LABEL_2,0.2457045316696167
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr,LABEL_4,0.2560766935348511
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep bagus tranparan banyak oknum main mulai tingkat desa camat segera efaluasi,LABEL_2,0.23258869349956512
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh metu makan ber gizi aw kok iso masakan mambu,LABEL_4,0.25619131326675415
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuuh,LABEL_4,0.27368685603141785
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,paling bener semua rakyat kasih mentah buat dmasak dmakan bareng,LABEL_4,0.27652111649513245
proyek,proyek,LABEL_4,0.2806690037250519
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu menu nya gk berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit,LABEL_4,0.23437899351119995
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt bagusss cuma banyak kerja mbg buat makan asal lan jadi benar mantau,LABEL_4,0.25844696164131165
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri,LABEL_4,0.23697462677955627
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim jakarta,LABEL_4,0.2796800136566162
gimana pengawasannya,gimana awas,LABEL_4,0.2697978913784027
jadi pembaziran dana pemerintah,jadi pembaziran dana perintah,LABEL_4,0.27142634987831116
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas gabisa mau gizi,LABEL_4,0.25287842750549316
menghamburkan anggaran yg gk bermanfaat,hambur anggar gk manfaat,LABEL_4,0.2687065601348877
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru,LABEL_2,0.24368295073509216
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,mbg sllu bermasalahbukannya gk syukur tp fakta,LABEL_4,0.30190518498420715
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada mkanan perlu kejarrr,LABEL_4,0.2721381187438965
program omon omon wkkkk,program omon omon wkkkk,LABEL_4,0.3151971399784088
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,bayang bagaimana sibuk bazzer jilat berita program selalu lihat bagus mata kaum bansos,LABEL_4,0.25587472319602966
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu,LABEL_4,0.27971014380455017
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek org tulus etika banyak baik negeri mau salah presiden,LABEL_4,0.250081866979599
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan cuma sekolah anak y kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa enak mah usah dimakankalau anak dua makan masuk misting bawa pulang rumah buang sekarang anak bilang makan mbg sekarang rasa aneh,LABEL_4,0.2348618358373642
kalo sdh begini siapa yg tanggung jawab ini,kalau begini siapa tanggung jawab,LABEL_4,0.27751779556274414
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann basi biar sisa uang korupsi,LABEL_2,0.2664009928703308
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal rumah masing,LABEL_2,0.28563255071640015
mubazir,mubazir,LABEL_4,0.30251914262771606
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo,LABEL_4,0.2767620384693146
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan org tua siswa dana,LABEL_1,0.24357205629348755
nahkan,nahkan,LABEL_4,0.2810229957103729
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas,LABEL_2,0.2567850351333618
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi,LABEL_4,0.2707846760749817
tertipuu jendral omon omon,tertipuu jendral omon omon,LABEL_4,0.3257805407047272
𝚙𝚛𝚘𝚐𝚛𝚊𝚖 𝚒𝚗𝚒 𝚋𝚎𝚕𝚊𝚔𝚞 𝚋𝚊𝚒𝚔 𝚑𝚊𝚗𝚢𝚊 𝚍𝚒 𝚔𝚘𝚝𝚊 𝚋𝚎𝚜𝚊𝚛 𝚍𝚊𝚎𝚛𝚊𝚑 𝚓𝚊𝚠𝚊 𝚋𝚞𝚔𝚊𝚗 𝚍𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚒𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚖𝚒𝚛𝚒𝚜,              ,LABEL_4,0.2749250531196594
kocak ya duit ratusan trliun model kya gni,kocak duit ratus trliun model kya gni,LABEL_4,0.2713378667831421
kasih paham prabowo,kasih paham prabowo,LABEL_4,0.2584949731826782
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan tengah matang bumbu sayur masuk,LABEL_4,0.2560589909553528
oke gas oke gas,oke gas oke gas,LABEL_4,0.28314870595932007
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan buat mkn gratis didik gratis lebih penting,LABEL_4,0.2486920952796936
masa alloh,masa alloh,LABEL_4,0.2621443271636963
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,perintah ngga duli konsumsi penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya,LABEL_4,0.2825935184955597
mantul memang,mantap betul memang,LABEL_4,0.2680138647556305
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar,LABEL_4,0.32060152292251587
di sekolah anakku sd belum ada,sekolah anak sd,LABEL_2,0.2831629812717438
ah baru anak kata prabowo,ah baru anak kata prabowo,LABEL_4,0.2506566345691681
bikin defisit negara,bikin defisit negara,LABEL_2,0.26434454321861267
mana tanggung jawab pemerintah,mana tanggung jawab perintah,LABEL_4,0.2867636978626251
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer,LABEL_4,0.2762611210346222
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan bpk prabowo masak salahin tuh masak nya knapa basi hambar,LABEL_4,0.2779303789138794
selamat datang di negeri omon omon,selamat datang negeri omon omon,LABEL_4,0.28552135825157166
kejam,kejam,LABEL_4,0.2871074080467224
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,mbg buang biaya penting untung anak sd pindahin mi pernah mbg basi kedaluarsa,LABEL_4,0.24360391497612
makanan bergizi makanan beracun,makan gizi makan racun,LABEL_2,0.26388171315193176
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,si ortu lah milik wajib beri makan anakanaknya perintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya bagus maju pikir,LABEL_4,0.23148256540298462
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang bagus,LABEL_4,0.23667702078819275
sudah kita duga,duga,LABEL_4,0.3003488779067993
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis,LABEL_2,0.2646454870700836
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi ni hebat program makan gizi konoha ni,LABEL_4,0.30162882804870605
diganti aja yy bagian masak dan yg pengang proyeknya,ganti yy bagi masak pengang proyek,LABEL_4,0.28641021251678467
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu mkn prtama hingga skrg,LABEL_4,0.24010269343852997
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh banyak g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit tidak apa negara presiden mnjalankan programnyasakit adlh nasionalisme,LABEL_4,0.2585139274597168
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas kalau mbg hasil nya,LABEL_4,0.2895323932170868
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,perintah indonesia kasih makan gratis anak muridmendingan uang pakai perbaikibeli fasilitas sekolah,LABEL_2,0.2413831204175949
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,pwrlu makan gerat perlu sekolah gerat negri sama suwasta baru guna makan gerat arti,LABEL_4,0.27360087633132935
oke gas oke gas,oke gas oke gas,LABEL_4,0.28314870595932007
astagfirullah,astagfirullah,LABEL_2,0.3044968843460083
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik org tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih,LABEL_3,0.24080362915992737
ini jelas buangbuang anggaran,jelas buangbuang anggar,LABEL_4,0.30297213792800903
berani banget nantangin si botak,berani banget nantangin si botak,LABEL_4,0.27817511558532715
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf program pas apa ikan cocok selera anak lebih baik buat org tua sendiri tau apa d suka anak,LABEL_4,0.27480819821357727
sdh hilang mkn gratis,hilang mkn gratis,LABEL_4,0.2915210425853729
pantas negara lain nk belajar dgn indonesia,pantas negara nk ajar indonesia,LABEL_4,0.34353533387184143
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang ny buat anakatau roti susubuahan msih segeritu masak ny bagaimana smpe bsa basi gtujgn salahin presiden,LABEL_4,0.2422012984752655
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang tepat,LABEL_3,0.24251733720302582
ok gas gas gas sampai mpus,gas gas gas mpus,LABEL_4,0.31211575865745544
penyedia makanan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis diulang masak lagi untuk esok harikasihan bocilrs,sedia makan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis ulang masak esok harikasihan bocilrs,LABEL_4,0.2640990614891052
mening di kasih uang nya aja sipel,ning kasih uang nya sipel,LABEL_4,0.2886955738067627
program gk masuk akal harusnya yg di tekankan sekolah gratis,program gk masuk akal harus tekan sekolah gratis,LABEL_2,0.2494167685508728
siapa tuh yg harus tanggung jawab klo udh kek gini,siapa tuh tanggung jawab kalau gin,LABEL_4,0.27216821908950806
cek pengelola,cek kelola,LABEL_4,0.2639079689979553
kebijakan yg dipaksakandemi janji asal jadi,bijak dipaksakandemi janji asal jadi,LABEL_4,0.24853485822677612
ironi salah pilih presidenamburadul parah,ironi salah pilih presidenamburadul parah,LABEL_2,0.29864028096199036
peluang korupsi yg besar di mgb,peluang korupsi besar mgb,LABEL_4,0.2960401177406311
