cleaned_text,text_cleaned,raw_sentiment_label,raw_sentiment_score,sentiment_category,confidence_level,text_length,word_count
soalnya masaknya dini hari mngkin masih panas lgsung ditutup jadi basi mmg resiko nya bgtu program prematur yg dibanggakan,soal masak dini hari mngkin panas lgsung tutup jadi basi mmg resiko nya bgtu program prematur bangga,Positive,0.8802942037582397,negative,high,100,17
lah kan mbg stands for makanan basi dan gaenak itu program tujuan utamanya buat korupsi,lah kan makan gizi gratis stands for makan basi tidak enak program tuju utama buat korupsi,Negative,0.9998664855957031,negative,high,90,16
awas dedi corbuzzer liat,awas dedi corbuzzer lihat,Neutral,0.9996367692947388,neutral,high,25,4
tolong ini deddy corbuzier yg abis ngata ngatain anak sd dikasih,deddy corbuzier habis ngata ngatain anak kasih,Neutral,0.9981213212013245,neutral,high,46,7
banyak seperti pemerintahan sekarang gak terima di kritik padahal tujuan ya untuk memperbaiki bukan baperan,banyak perintah sekarang gak_terima kritik padahal tuju baik bukan_baperan,Negative,0.999665379524231,negative,high,74,9
jelas hambar karena dr atas dananya dipangkas,jelas hambar atas dana pangkas,Negative,0.999862790107727,negative,high,30,5
program prabowo paling mustahil di jalankan tp banyak yg percaya sewaktu kampanye,program prabowo paling mustahil jalan banyak percaya waktu kampanye,Negative,0.9431159496307373,negative,high,67,9
please hentikan program iniganti blt siswa sajakalo gak mau pilih pendidikan gratis,please henti program iniganti bantu langsung tunai siswa sajakalo gak_mau pilih didik gratis,Neutral,0.9260979294776917,neutral,high,92,13
assu_dahlah hentikan saja itu program mbg pak presiden anak² kami lebih mbutuhkan pendidikan gratis daripada makan siang gratis,assu_dahlah henti program makan gizi gratis pak presiden anak lebih mbutuhkan didik gratis makan siang gratis,Negative,0.999097466468811,negative,high,109,16
kalo jujur sebetulnya hampir semua seperti itu kadang kadang diliput anak anak takut menyampaikan apa adanya seolah olah disetting supaya melaporkan baik baik saja,kalau jujur hampir semua kadang kadang liput anak anak takut sampai apa ada olah disetting lapor baik baik,Negative,0.9670527577400208,positive,high,106,18
nasi siang gratis rasa ternak mulyono,nasi siang gratis rasa ternak buruk,Negative,0.9996832609176636,negative,high,35,6
hapus saja makan gratis ganti dengan sekolah gratis,hapus makan gratis ganti sekolah gratis,Neutral,0.9994365572929382,neutral,high,39,6
program unggulan kebanggaan kaum,program unggul bangga kaum,Positive,0.9996986389160156,positive,high,26,4
kembalikan ke orang tuanya untuk memberi makan siang tugas negara memberikan pekerjaan kpd orang tuanya,kembali orang tua beri makan siang tugas negara beri kerja orang tua,Neutral,0.9994311928749084,neutral,high,68,12
ini kalau ga bnr dipantau bukan memberi gizi malah membunuh secara perlahan jadinya,kalau ga_bnr pantau bukan_memberi gizi malah bunuh perlahan jadi,Negative,0.9998342990875244,negative,high,64,9
ganti sama pendidikan gratis,ganti sama didik gratis,Neutral,0.9879539012908936,neutral,high,23,4
salah prabowo dan jokowi,salah prabowo jokowi,Negative,0.9995999932289124,negative,high,20,3
kalo di keritik di bilangan anak abah,kalau keritik bilang anak abah,Negative,0.979929506778717,negative,high,30,5
ini adalah fakta lapanganmakanan bergizi tapi tidak sesuai kenapa masih ada yg bilang untuk menjatuhkan program presiden kritik itu untuk membangun kenapa tidak suka,fakta lapanganmakanan gizi tidak_sesuai bilang jatuh program presiden kritik bangun tidak_suka,Negative,0.9998400211334229,negative,high,94,11
kalau gak diawasin bener bener yah jadi ladang korup,kalau gak_diawasin benar benar yah jadi ladang korup,Negative,0.9998846054077148,negative,high,52,8
katanya bergizi nyatanya bikin penyakit,kata gizi nyata bikin sakit,Neutral,0.9992645382881165,negative,high,27,5
mending sekolah gratis smpe sma untk seluruh indonesia,lebih baik sekolah gratis smpe sama seluruh indonesia,Neutral,0.9964609742164612,positive,high,53,8
banyak buzzer mulyono disini cuman anak kecil itu gak pandai berbohong kayak buzzer,banyak buzzer buruk sini cuma anak kecil gak_pandai bohong kayak buzzer,Negative,0.9998332262039185,negative,high,71,11
stop makan gratis jdikan pendidikan gratis,stop makan gratis jdikan didik gratis,Neutral,0.9990806579589844,positive,high,37,6
di malaysia makan gratis di sedia untuk anak di keluarga pendapatan rm sebulan atau rupiah juta ke bawah makanan di sediakan dikantin dengan menu yg di luluskan oleh kementerian kesihatan,malaysia makan gratis sedia anak keluarga dapat bulan rupiah juta bawah makan sedia kantin menu lulus menteri kesihatan,Neutral,0.999508261680603,neutral,high,119,18
hati hati dek nanti disuruh bersyukur,hati hati dek suruh syukur,Neutral,0.6595866084098816,neutral,medium,26,5
ubur ubur ikan lele rakyat g butuh makan gratis le,ubur ubur ikan lele masyarakat butuh makan gratis,Neutral,0.9861495494842529,neutral,high,49,8
bpk prabowo yg terhormat lihat ini program yg bpk unggulkan mbggimana ini bos,bpk prabowo hormat lihat program bpk unggul mbggimana bos,Neutral,0.9990299940109253,neutral,high,57,9
ora efektif blasnguwak anggaran tok,ora efektif blasnguwak anggaran tok,Negative,0.5240606069564819,positive,low,35,5
kasih kerjaan bapak nya biar bapaknya yg ngasih makan anak² nya orangtuanya tau persis dan ga mungkin ngasih makanan basi,kasih kerja bapak nya biar bapak ngasih makan anak nya orangtuanya tahu persis ga_mungkin ngasih makan basi,Negative,0.4813595116138458,negative,low,107,17
makan urusan org tuanya,makan urus orang tua,Negative,0.9963327646255493,negative,high,20,4
program tdk ada mampaatkalo pak omon pintar bikin prgram sekolah gratis dan sembako murah lapangan kerja di perbanyak,program tidak mampaatkalo pak omon pintar bikin prgram sekolah gratis sembako murah lapang kerja banyak,Neutral,0.6137783527374268,neutral,medium,103,15
hentikan mbg mending dikasih emak nya biar bisa masak sesuka anaknya,henti makan gizi gratis lebih baik kasih emak nya biar masak suka anak,Negative,0.9743646383285522,positive,high,70,13
urusan makan anak biar lah jd urusan ibunya masing tugas negara kasihblapangan pekerjaan buat bapaknya saja g usah repot ngurus makan anak org,urus makan anak biar lah jadi urus ibu masing tugas negara kasihblapangan kerja buat bapak usah repot ngurus makan anak orang,Negative,0.9975997805595398,negative,high,125,21
di kritik gak mau maunya benerrr ajaa kalo sdh kyk gini siapa yg bertanggung jawab itulah mikirnya makaaann makannnn makannnn aja sdh ada yg mikirin anak anak itu yaitu ortu nya,kritik gak_mau mau benerr ajaa kalau begini siapa tanggung jawab mikirnya makaann makann makann mikirin anak anak ortu nya,Negative,0.99981290102005,negative,high,122,19
bukannya sibuk urus program pak pres malah sibuk bahas pilpres,bukan sibuk urus program pak pres malah sibuk bahas pilpres,Negative,0.9978665709495544,negative,high,59,10
stop saja program mbgkasih aja orang tuanya pekerjaannyabiar dapat kasih makan anaknya x seharidari program mbg semua cari untung sedangkan anak banyak yg jd korban,stop program mbgkasih orang tua pekerjaannyabiar kasih makan anak seharidari program makan gizi gratis semua cari untung anak banyak jadi korban,Negative,0.9877808094024658,negative,high,144,21
negara yg sok tau keperluan anak,negara sok tahu perlu anak,Negative,0.999858021736145,negative,high,26,5
subsidinya gk main triliunan tpi hasil nya kaya gini klo gk efektif mending gak usah deh makan gratis gini buang anggaran,subsidi main triliun hasil nya kaya begini kalau efektif lebih baik gak_usah makan gratis begini buang anggaran,Negative,0.9998270869255066,negative,high,111,17
awas ketemu om botak stafsus ntar dimarahi,awas ketemu botak stafsus ntar marah,Negative,0.9998654127120972,negative,high,36,6
gak gak pemerintah ga boleh salah ini pasti ada yg salah yang pasti bukan pemerintah titik,gak_gak pemerintah ga_boleh salah salah bukan_pemerintah titik,Negative,0.9046488404273987,negative,high,62,7
ya allah semoga adik adik ya sehat ya,allah moga adik adik sehat,Positive,0.9973995685577393,positive,high,26,5
makan bergizi di luar negri itu di bkin kek prasmanan dapur nya di sekolah n ada pkrja khusus utk masak n memastikan kebersihan mknan pda saat pengambilan mknan jg ada petugas yg menakrnya,makan gizi luar negri bkin prasmanan dapur nya sekolah pkrja khusus masak pasti bersih mknan pda ambil mknan tugas menakrnya,Neutral,0.999036431312561,positive,high,124,20
kalo sudah begini siapa yg salah dan bertanggung jawab,kalau begini siapa salah tanggung jawab,Negative,0.7273204326629639,negative,medium,39,6
periksa itu orang yg mengurus mbg bukan salah pemerintah tapi salah itu oknum yg tidak bertanggung jawab,periksa orang urus makan gizi gratis bukan_salah pemerintah salah oknum tidak_bertanggung jawab,Negative,0.540949821472168,negative,low,95,12
ok gas ok gas jogetin ajaaaa pemilih,gas gas jogetin ajaa pilih,Neutral,0.9844825863838196,neutral,high,26,5
itu yang menyajikan perlu ditinjau,saji perlu tinjau,Neutral,0.9868307113647461,neutral,high,17,3
program buang uang negara,program buang uang negara,Negative,0.9998263716697693,negative,high,25,4
lagian ngapain juga negara repot ngasi makan anak skolah kasi aja ibu bpk nya pekerjaan yg layak nanti jg anak nya di kasi makan terbaik oleh org tua nya,lagi ngapain negara repot ngasi makan anak skolah kasi ibu bpk nya kerja layak anak nya kasi makan baik orang tua nya,Negative,0.998668909072876,positive,high,117,22
sayang bgt terbuang sia sia jd mubajir,sayang sangat buang sia sia jadi mubajir,Negative,0.9997820258140564,negative,high,40,7
kalau menurut saya sih harinya per sekola aja masak nya biar ga kewalahan masak nya jadi buru mubazir,kalau hari per kola masak nya biar ga_kewalahan masak nya jadi buru mubazir,Negative,0.9995794892311096,negative,high,75,13
jarak kejauhan antara dapur ke sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya di mulai pukul dini hari hingga sampai kesolah dng rentang waktu sampai jam wajar basi,jarak jauh dapur sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya mulai pukul dini hari hingga solah dng rentang waktu jam wajar basi,Negative,0.99967360496521,negative,high,153,26
pendidikan gratis ga akan basi,didik gratis ga_akan basi,Negative,0.999821126461029,negative,high,25,4
lbh baik skolah gratis drpd mbgmk ny wo mikir yg terbaik beri pekerjaan pd para orang tua murid yg rata² pengangguran atau krj serabutan,lbh baik skolah gratis drpd mbgmk mikir baik beri kerja orang tua murid rata anggur krj serabutan,Negative,0.9990488886833191,positive,high,97,17
gimana kalo seperti ini deddy corbuzier dan badan gizi nasional,gimana kalau deddy corbuzier badan gizi nasional,Neutral,0.9932159781455994,neutral,high,48,7
jgn gitu ya ntar dedy marah lo,jangan ntar dedy marah,Negative,0.9041977524757385,negative,high,22,4
lebih penting pendidikan gratis makan siang gratis,lebih penting didik gratis makan siang gratis,Neutral,0.9906889200210571,neutral,high,45,7
dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake yg stainless,tray nya plastik ity bukan_mbg standart program makan gizi gratis tray nya pakai stainless,Neutral,0.9915212392807007,negative,high,90,14
sebaikmakanan buat anak adalah yg di buat oleh tangan ibunya,sebaikmakanan buat anak buat tangan ibu,Neutral,0.9393939971923828,positive,high,39,6
isinya pembenci presiden semua,isi benci presiden semua,Negative,0.9998849630355835,negative,high,24,4
yang masak nya gimana itu pangil koki dari jawa sumatra yang masak,masak nya gimana pangil koki jawa sumatra masak,Neutral,0.8743687272071838,neutral,high,47,8
lbh baik turunkan harga sembako dan harga sandang pangan jd tiap klrga mampu kasi anak makaan bergizi walau menu sederhana stidakny mkn lauk sayur dan buah,lbh baik turun harga sembako harga sandang pangan jadi tiap klrga mampu kasi anak maka gizi menu sederhana stidakny makan lauk sayur buah,Neutral,0.8457542061805725,positive,high,137,23
astagayayasan apa yg kasih makan,astagayayasan apa kasih makan,Neutral,0.9933857321739197,neutral,high,29,4
kebijakan menghamburkan anggaran sudahlah sdh kuduga,kebijakan hambur anggaran sudah duga,Negative,0.9943720102310181,negative,high,36,5
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jangan disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup,Negative,0.9901546239852905,negative,high,144,23
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo,Neutral,0.9452056884765625,neutral,high,45,7
kasih dedi makan,kasih dedi makan,Positive,0.9984517097473145,positive,high,16,3
perlu dikaji ulang,perlu kaji ulang,Neutral,0.999431312084198,neutral,high,16,3
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana nyata nol bersih,Positive,0.9983413219451904,positive,high,24,4
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,bagus nya menu lebih arah tahan lama roti susu sayur banyklah tahan lama,Positive,0.9989585876464844,positive,high,72,13
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan_kurang matang memang kasih ayam busuk kali kasi anak anak nya,Negative,0.9998693466186523,negative,high,67,11
pengawasan suplayer harus penting,awas suplayer penting,Positive,0.9830323457717896,positive,high,21,3
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis,Neutral,0.9785600304603577,positive,high,52,8
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah,Negative,0.999883770942688,negative,high,46,6
suruh makan cahyadi saja,suruh makan cahyadi,Neutral,0.9995928406715393,neutral,high,19,3
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak,Negative,0.513785183429718,negative,low,109,17
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti mengeluh wajib,Negative,0.9996010661125183,negative,high,71,12
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar tidak_sehat dana potong ngasih kerjajd sedia masak apa ada,Negative,0.9998708963394165,negative,high,70,11
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak,Positive,0.9997445940971375,positive,high,35,6
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana ga_basi,Neutral,0.9942708015441895,negative,high,70,12
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam apa kasih makan program bagus masalah perlu sampai bahan evaluasi nah kata buzzer tidak_usah mengeluh dimna otak,Neutral,0.7309524416923523,negative,medium,167,25
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang_pengawasan,Neutral,0.9992577433586121,negative,high,82,13
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr,Positive,0.6979511976242065,positive,medium,28,5
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep bagus tranparan banyak oknum main mulai tingkat desa camat segera efaluasi,Negative,0.996753990650177,negative,high,101,15
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh metu makan ber gizi kok iso masakan mambu,Positive,0.5909786224365234,positive,low,51,10
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuh,Negative,0.991072952747345,negative,high,25,5
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,paling benar semua masyarakat kasih mentah buat dmasak dmakan bareng,Negative,0.9626504182815552,negative,high,68,10
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu menu nya berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit,Negative,0.9998489618301392,negative,high,103,18
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt baguss cuma banyak kerja makan gizi gratis buat makan asal lan jadi benar mantau,Positive,0.999554455280304,positive,high,100,17
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri,Neutral,0.9977582693099976,neutral,high,47,8
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim jakarta,Neutral,0.9991305470466614,neutral,high,31,5
jadi pembaziran dana pemerintah,jadi pembaziran dana pemerintah,Neutral,0.9997264742851257,neutral,high,31,4
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas gabisa mau gizi,Neutral,0.9983275532722473,neutral,high,40,7
menghamburkan anggaran yg gk bermanfaat,hambur anggaran manfaat,Negative,0.9960197806358337,negative,high,23,3
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,gak_peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru,Negative,0.9996687173843384,negative,high,75,12
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,makan gizi gratis sllu bermasalahbukannya syukur fakta,Negative,0.9696715474128723,negative,high,54,7
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada makan perlu kejarr,Neutral,0.9964423775672913,neutral,high,40,7
program omon omon wkkkk,program omon omon wkk,Neutral,0.9995251893997192,neutral,high,21,4
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,gak_kebayang bagaimana sibuk bazzer jilat berita program selalu lihat bagus mata kaum bantu sosial,Negative,0.9819533824920654,positive,high,98,14
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu,Neutral,0.9995694756507874,neutral,high,34,5
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek orang tulus etika banyak baik negeri mau salah presiden,Negative,0.928234338760376,negative,high,82,14
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan_cuma sekolah anak kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa ga_enak mah ga_usah dimakankalau anak dua ga_dimakan masuk misting bawa pulang rumah buang sekarang anak bilang makan makan gizi gratis sekarang rasa aneh,Negative,0.9998481273651123,negative,high,254,38
kalo sdh begini siapa yg tanggung jawab ini,kalau begini siapa tanggung jawab,Neutral,0.9804794788360596,neutral,high,33,5
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann basi biar sisa uang korupsi,Negative,0.9998132586479187,negative,high,48,8
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal rumah masing,Positive,0.788851261138916,positive,medium,34,6
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo,Neutral,0.999478280544281,neutral,high,24,4
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan orang tua siswa dana,Negative,0.9977447986602783,positive,high,52,9
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas,Positive,0.9263170957565308,positive,high,37,7
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi,Negative,0.996277391910553,negative,high,48,8
tertipuu jendral omon omon,tertipuu jendral omon omon,Negative,0.9998387098312378,negative,high,26,4
kocak ya duit ratusan trliun model kya gni,kocak uang ratus trliun model kya gni,Neutral,0.9995014667510986,neutral,high,37,7
kasih paham prabowo,kasih paham prabowo,Positive,0.9995744824409485,positive,high,19,3
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan_setengah matang bumbu sayur masuk,Negative,0.861623227596283,negative,high,90,14
oke gas oke gas,baik gas baik gas,Neutral,0.9124363660812378,positive,high,17,4
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan_buat makan gratis didik gratis lebih penting,Negative,0.9970135688781738,negative,high,65,9
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,pemerintah ngga duli konsumsi tidak_yang penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya,Neutral,0.9864888787269592,negative,high,129,20
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar,Positive,0.6936289668083191,positive,medium,41,6
ah baru anak kata prabowo,baru anak kata prabowo,Neutral,0.9990352392196655,neutral,high,22,4
bikin defisit negara,bikin defisit negara,Negative,0.9977637529373169,negative,high,20,3
mana tanggung jawab pemerintah,mana tanggung jawab pemerintah,Neutral,0.9719741344451904,neutral,high,30,4
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer,Negative,0.9997758269309998,negative,high,49,8
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan_bpk prabowo masak salahin masak nya knapa basi hambar,Negative,0.9997685551643372,negative,high,91,14
selamat datang di negeri omon omon,selamat datang negeri omon omon,Neutral,0.989614725112915,neutral,high,31,5
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,makan gizi gratis buang biaya ga_penting untung anak pindahin ga_pernah makan gizi gratis basi kedaluarsa,Neutral,0.4961257874965668,negative,low,105,15
makanan bergizi makanan beracun,makan gizi makan racun,Negative,0.999813973903656,negative,high,22,4
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,ortu lah milik wajib beri makan anakanaknya pemerintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya bagus maju pikir,Positive,0.9956374764442444,positive,high,141,19
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang_bagus,Negative,0.9997361302375793,negative,high,34,5
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis,Neutral,0.9605574607849121,neutral,high,40,6
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi hebat program makan gizi konoha,Negative,0.993660032749176,positive,high,87,14
diganti aja yy bagian masak dan yg pengang proyeknya,ganti bagi masak pengang proyek,Neutral,0.9993200302124023,negative,high,31,5
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu makan prtama hingga sekarang,Neutral,0.9955592155456543,neutral,high,56,9
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh banyak makanprog makan gizi gratis adlah mngajarkan kalian bersyukursakit tidak apa apa negara presiden mnjalankan programnyasakit adlh nasionalisme,Positive,0.990151584148407,negative,high,162,20
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas kalau makan gizi gratis hasil nya,Negative,0.9268962740898132,negative,high,46,8
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,pemerintah indonesia kasih makan gratis anak muridmendingan uang pakai perbaikibeli fasilitas sekolah,Neutral,0.9997137188911438,positive,high,101,12
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,nggak_pwrlu makan gratis perlu sekolah gratis negri sama suwasta baru guna makan gratis nggak_ada arti,Positive,0.36695975065231323,positive,low,102,15
oke gas oke gas,baik gas baik gas,Neutral,0.9124363660812378,positive,high,17,4
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik orang tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih,Negative,0.9939965009689331,positive,high,96,15
ini jelas buangbuang anggaran,jelas buangbuang anggaran,Negative,0.9998167157173157,negative,high,25,3
berani banget nantangin si botak,berani sangat nantangin botak,Negative,0.9998204112052917,negative,high,29,4
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf program tidak_pas apa ikan cocok selera anak lebih baik buat orang tua sendiri tahu apa suka anak,Negative,0.9624138474464417,positive,high,102,18
sdh hilang mkn gratis,hilang makan gratis,Negative,0.99981290102005,negative,high,19,3
pantas negara lain nk belajar dgn indonesia,pantas negara ajar indonesia,Negative,0.9125803112983704,negative,high,28,4
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang buat anakatau roti susubuahan msih segeritu masak bagaimana smpe bsa basi gtujgn salahin presiden,Neutral,0.9571325182914734,negative,high,121,18
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang_tepat,Negative,0.8275709748268127,negative,high,42,6
ok gas gas gas sampai mpus,gas gas gas mpus,Neutral,0.5087203979492188,neutral,low,16,4
